id_slug,canonical_term,short_definition,long_definition,category,priority,classification,status
ai-agent-agentic-ai,AI Agent / Agentic AI,"AI software that can autonomously plan and take multi-step actions to reach a goal, rather than just answering a single question.","An AI agent goes beyond a single prompt-and-response interaction: it can break a task into steps, decide which tools or systems to use (web search, code execution, other apps), take action, evaluate the result, and adjust its plan - often with limited human supervision in between steps. 'Agentic AI' is the broader category/architecture describing this style of system. This is a fast-moving, still-maturing space; infrastructure and best practices for building reliable agents are still being worked out industry-wide, so expect the term's practical meaning to keep sharpening.",AI 101,1,Non-Technical,active
prompt,Prompt,"The input - a question, instruction, or piece of text - that a person gives an AI model to get a response.","A prompt can be as simple as a one-line question or as elaborate as a detailed set of instructions, examples, and context. Because generative AI models respond directly to what's in the prompt, the way a prompt is worded has a real effect on the quality and relevance of the output - which is the whole premise behind Prompt Engineering.",PM Basics,1,Non-Technical,active
prompt-engineering,Prompt Engineering,"The practice of crafting and refining prompts to get better, more reliable outputs from an AI model.","Prompt engineering includes techniques like giving the model examples of the output you want (few-shot prompting), asking it to reason step by step (chain of thought), specifying a role or format, or adding constraints. It's become a practical skill for PMs and other non-engineers because it doesn't require touching the model itself - just being deliberate about how you ask. As models improve, some prompt-engineering tricks matter less over time, but the underlying discipline of being clear about what you want remains useful.",PM Basics,1,Non-Technical,active
context-window,Context Window,The amount of text (measured in tokens) an AI model can 'see' and consider at one time when generating a response.,"Think of the context window as the model's working memory for a single conversation or task - it's different from the vast training data the model learned from originally. If a conversation or document exceeds the context window, the model starts losing track of earlier information. Context windows have grown enormously (some current models handle over a million tokens - roughly hundreds of pages of text), which is what enables use cases like uploading a large document and asking detailed questions about it.",PM Basics,1,Non-Technical,active
hallucination,Hallucination,When an AI model generates information that sounds plausible and confident but is factually incorrect or entirely made up.,"Hallucinations happen because generative models are built to produce statistically likely text, not to verify facts against a source of truth. A model might invent a citation, misstate a date, or confidently describe an event that never happened. This is one of the most important limitations for PMs to understand and design around - especially in any product surface where users might treat AI output as authoritative. Techniques like Retrieval-Augmented Generation (RAG) and grounding are common mitigations.",PM Basics,1,Non-Technical,active
bias,Bias (in AI),"When an AI system produces outputs that unfairly favor or disadvantage certain groups or perspectives, usually as a result of patterns in its training data.","Bias can creep in from skewed or unrepresentative training data, from the way a problem is framed, or from limitations in the model itself. It can show up subtly (an image generator underrepresenting certain groups) or more seriously (a hiring or lending tool producing discriminatory outcomes). Addressing bias is an active area of AI Ethics and Responsible AI practice, and it's a live risk consideration for any product that puts AI output in front of real users or decisions.",PM Basics,1,Non-Technical,active
fine-tuning,Fine-Tuning,"Taking an already-trained AI model and training it further on a smaller, specific dataset so it performs better on a particular task or domain.","Fine-tuning lets a company adapt a general-purpose model (like a foundation model) to their own use case - for example, training it on customer support transcripts so it responds more like a company's support team, or on legal documents so it uses domain-appropriate language. It's cheaper and faster than training a model from scratch, since the model already has broad language understanding baked in. Fine-tuning is different from Prompt Engineering: prompt engineering changes what you ask at the moment of use, while fine-tuning changes the model itself ahead of time.",PM Basics,1,Non-Technical,active
training-data,Training Data,The data used to teach an AI model - the examples it learns patterns from during training.,"Training data quality and diversity directly determine what a model can and can't do well, and where its biases and blind spots come from. For an LLM, training data typically means enormous volumes of text scraped from books, websites, and other sources; for a fine-tuned model, it might mean a much smaller, curated set of company-specific examples. See also Dataset - training data is a dataset that's specifically being used to train a model, though the two terms are sometimes used interchangeably in casual conversation.",PM Basics,1,Non-Technical,active
dataset,Dataset,A structured collection of data - which may or may not be used to train an AI model.,"A dataset is the broader concept: any organized collection of information, such as a spreadsheet of customer transactions or a folder of labeled images. Training Data is a dataset that's specifically being used to teach a model. In practice the terms overlap a lot and are often used interchangeably, but it's worth knowing that not every dataset is training data - a dataset might instead be used for testing, validation, or plain old analytics with no AI involved at all.",PM Basics,2,Non-Technical,active
token-tokenization,Token / Tokenization,"The small chunks of text (words, parts of words, or characters) that an AI language model breaks input into before processing it.","Tokenization is the process of splitting text into these units. A token is roughly three-quarters of a word in English, on average. Tokens matter for two practical reasons: they determine how much text fits in a model's context window, and most AI providers charge based on the number of tokens processed, so token count is directly tied to cost.",PM Basics,1,Non-Technical,active
retrieval-augmented-generation,Retrieval-Augmented Generation (RAG),"A technique that lets an AI model look up relevant information from an external source before generating its answer, instead of relying only on what it learned during training.","RAG addresses two big LLM limitations: models can't access information created after their training cutoff, and they sometimes hallucinate facts. With RAG, a query first retrieves relevant documents (from a company's knowledge base, a set of PDFs, or the live web), and that retrieved content is added to the prompt so the model can ground its answer in real source material - often with citations. This is one of the most common patterns for building reliable, up-to-date AI product features, especially ones that draw on proprietary or frequently-changing information.",Technical-for-PMs,1,Technical,active
reinforcement-learning,Reinforcement Learning,"A training method where an AI system learns by taking actions and receiving rewards or penalties based on the outcome, gradually improving its behavior through trial and error.","Reinforcement learning is how systems learn to play games, control robots, and - critically for today's chatbots - refine their responses based on feedback about what a 'good' answer looks like. It's fundamentally different from supervised learning: instead of being shown labeled correct answers, the system explores, gets feedback, and adjusts.",Technical-for-PMs,1,Technical,active
supervised-learning,Supervised Learning,"A machine learning approach where a model is trained on data that's already labeled with the correct answer, so it learns to map inputs to outputs.","This is one of the two classic machine learning paradigms (the other being unsupervised learning). Supervised learning is used for tasks like classification (is this email spam?) or prediction (what will this house sell for?), where you have historical examples paired with known correct outcomes. It requires labeled data, which can be expensive and time-consuming to produce - a practical constraint worth knowing when scoping any ML feature.",Technical-for-PMs,1,Technical,active
unsupervised-learning,Unsupervised Learning,"A machine learning approach where a model finds patterns or groupings in data on its own, without being given labeled correct answers.","Because there's no 'right answer' provided during training, unsupervised learning is used to discover structure that wasn't obvious beforehand - like clustering customers into segments based on behavior, or reducing a complex dataset down to its most important variables. It's especially useful when labeled data is scarce or expensive to produce, which is common in real-world business data.",Technical-for-PMs,1,Technical,active
artificial-narrow-intelligence,Artificial Narrow Intelligence (ANI),"AI designed to perform one specific task or a limited set of tasks well, without the ability to generalize beyond that scope.","Essentially all AI in production use today - including the most advanced chatbots - is narrow AI. A narrow AI system can be extraordinarily capable within its lane (translating language, generating images, playing chess) but can't transfer that skill to unrelated problems the way a human can. This is the practical contrast point to AGI, which remains hypothetical.",AI 101,2,Non-Technical,active
foundation-model,Foundation Model,"A large-scale AI model trained on broad, diverse data, designed to be adapted (via fine-tuning or prompting) for many different downstream tasks.","Foundation models are the 'base layer' companies build on rather than training a model from scratch - think of GPT, Claude, or Gemini's underlying models. The term is broader than 'LLM': a foundation model can be multimodal (handling text, images, audio) whereas 'LLM' technically refers to the text-focused case. Most generative AI products today are built by prompting or fine-tuning an existing foundation model rather than training something new.",AI 101,2,Non-Technical,active
multimodal-ai,Multimodal AI,"AI systems that can understand and generate more than one type of content - such as text, images, audio, and video - within the same interaction.","Multimodal AI is what lets you upload a photo and ask a chatbot to describe it, or ask a model to generate an image from a text description. It reflects models moving beyond text-only understanding toward something closer to how humans naturally combine senses and modes of communication. This capability is increasingly table-stakes in major consumer AI products.",AI 101,2,Non-Technical,active
automation,Automation,"Using technology, including but not limited to AI, to perform tasks based on fixed, predefined rules with little or no human involvement.","It's useful to distinguish automation from AI agents: automation follows rules a person explicitly defined ('if X happens, do Y'), while an AI agent can interpret a goal and figure out its own steps to get there. Plenty of valuable automation involves no AI or machine learning at all - it's worth not over-attributing every automated workflow to 'AI.'",PM Basics,2,Non-Technical,active
computer-vision,Computer Vision,A field of AI focused on enabling computers to interpret and understand visual information from images and video.,"Computer vision powers things like facial recognition, medical image analysis, object detection in self-driving cars, and the 'describe this photo' capability in multimodal chatbots. It's one of the older, more established branches of AI, predating the current generative AI wave by decades, though it's been transformed by deep learning.",AI 101,2,Non-Technical,active
prompt-injection,Prompt Injection,"A security attack where malicious instructions are hidden in text (a webpage, document, or message) to trick an AI model into ignoring its original instructions and doing something unintended.","As AI agents increasingly browse the web, read documents, or process untrusted content, prompt injection becomes a real product-security risk - not just an academic curiosity. For example, hidden text on a webpage could instruct an AI agent to leak confidential data or take an unauthorized action. This is a risk category PMs should know exists, even without needing to understand the technical mitigations in depth.",PM Basics,2,Non-Technical,active
chain-of-thought,Chain of Thought,"A technique (and model behavior) where an AI works through a problem step by step, showing its intermediate reasoning, rather than jumping straight to a final answer.","Just as a person might use scratch paper to work through a math problem instead of guessing the answer outright, chain-of-thought prompting/reasoning breaks a problem into smaller steps. This tends to improve accuracy on logic, math, and multi-step problems, though it takes the model longer to respond. 'Reasoning Models' are a newer category of models specifically built and trained to do this kind of step-by-step thinking well.",PM Basics,2,Non-Technical,active
meta-prompt-system-prompt,Meta Prompt / System Prompt,"Hidden instructions given to an AI model before a conversation starts, which set its behavior, tone, or boundaries without the end user seeing them.","A system prompt might tell a model 'You are a helpful customer support assistant for Acme Co. Don't discuss competitor products.' It's how companies customize an off-the-shelf model's behavior for their product without fine-tuning it. Understanding system prompts matters for PMs designing AI features, since much of a product's AI 'personality' and guardrails often live here rather than in the underlying model itself.",PM Basics,2,Non-Technical,active
temperature,Temperature,"A setting that controls how random or creative an AI model's output is - lower values produce more predictable, focused answers; higher values produce more varied, surprising ones.","Temperature is a dial product teams can adjust depending on the use case: a customer support bot might use a low temperature for consistent, safe answers, while a creative writing tool might use a higher temperature to encourage variety. It's one of the few AI model settings that's genuinely simple to explain to a non-technical stakeholder.",PM Basics,2,Technical,active
guardrails,Guardrails,"Rules, filters, and safeguards put in place around an AI system to prevent it from producing harmful, inappropriate, or off-brand content.","Guardrails can be built at multiple layers: in the system prompt, through content filtering on inputs and outputs, or through separate moderation models that check responses before they reach the user. Every product shipping an AI feature to real users needs to think about guardrails - both for safety/legal reasons and for maintaining product quality and brand voice.",PM Basics,2,Non-Technical,active
human-in-the-loop,Human-in-the-Loop,"AI system design where a human reviews, approves, or can override the AI's output at some point in the process, rather than letting the AI act fully autonomously.","Human-in-the-loop is a common and often necessary design pattern for higher-stakes AI features - for example, having a person approve an AI-drafted email before it sends, or review an AI's content moderation decision before it's enforced. It's a key lever PMs have for managing risk and building trust while still capturing much of the efficiency benefit of AI.",PM Basics,2,Non-Technical,active
inference,Inference,"The process of a trained AI model actually generating an output (a prediction, an answer, an image) in response to new input.","Training is the (usually one-time, expensive) process of teaching a model; inference is what happens every single time someone uses the model afterward. This distinction matters commercially: most of the ongoing cost of running an AI product comes from inference (serving responses to users), not from the original training.",Technical-for-PMs,2,Technical,active
zero-shot-learning,Zero-Shot Learning,An AI model's ability to correctly perform a task or recognize something it was never explicitly trained or shown examples of.,"Modern LLMs can often follow a brand-new instruction correctly on the first try, without needing any examples in the prompt - that's zero-shot performance. Contrast this with Few-Shot Learning, where you give the model a handful of examples in the prompt to guide its response, which often improves accuracy on more specific or unusual tasks.",PM Basics,2,Technical,active
latency,Latency,The time delay between sending a prompt to an AI model and receiving its response.,Latency is a practical product concern: a slower model may give better answers but hurt the user experience in real-time contexts like chat. Two sub-metrics matter in technical conversations - Time to First Token (how fast the response starts appearing) and total response time (how long the full answer takes) - and they can be optimized somewhat independently.,Technical-for-PMs,2,Technical,active
open-source,Open Source (AI models),"AI models whose underlying code, and often trained weights, are made publicly available for anyone to use, inspect, or modify.","Open-source and open-weight models (like Meta's Llama family) let companies run AI on their own infrastructure, customize it more deeply, and avoid depending entirely on a single vendor's API - trade-offs against the convenience and cutting-edge performance of closed, proprietary models like GPT or Claude. This build-vs-buy-style decision is a real strategic question for AI product teams.",PM Basics,2,Non-Technical,active
anthropomorphism,Anthropomorphism,"The tendency to attribute human traits, emotions, or intentions to AI systems that don't actually have them.","Because chatbots can hold fluent, natural-sounding conversations, people often unconsciously treat them as if they have feelings, opinions, or consciousness - even though today's AI has none of these things. This matters for product design: anthropomorphism can create unrealistic user expectations and even unhealthy emotional attachment, but thoughtfully designed personality can also make interactions feel more natural and approachable. It's a genuine design trade-off, not just a curiosity.",PM Basics,2,Non-Technical,active
grounding,Grounding,"Connecting an AI model's output to verifiable, real source material - like documents, databases, or search results - to make its answers more accurate and trustworthy.","Grounding is the general concept; Retrieval-Augmented Generation (RAG) is the most common technique used to achieve it. A grounded response can often cite exactly where its information came from, which reduces (though doesn't eliminate) the risk of hallucination.",Technical-for-PMs,2,Technical,active
embeddings,Embeddings,"A way of converting text, images, or other data into a list of numbers that captures its meaning, so a computer can compare how similar two pieces of content are.","Embeddings turn the fuzzy, human idea of 'similar meaning' into something a computer can calculate mathematically - two pieces of text about the same topic end up numerically 'close' to each other even if they don't share the same words. This is the technology underneath semantic search, recommendation systems, and Retrieval-Augmented Generation, where a system needs to find the most relevant piece of stored information for a given query.",Technical-for-PMs,2,Technical,active
vector-database,Vector Database,"A specialized database designed to store and quickly search through embeddings - the numerical representations of text, images, or other data.","Traditional databases are built to search for exact matches or filter by fields; vector databases are built to answer 'what's most similar to this?' - which is exactly what's needed for semantic search and RAG systems. If a PM hears an engineer mention Pinecone, Weaviate, or pgvector, they're talking about vector database technology.",Technical-for-PMs,2,Technical,active
model-context-protocol,Model Context Protocol (MCP),"An open standard that lets AI models connect to external tools and data sources - like files, databases, or apps - in a consistent way, without a custom integration for every pairing.","MCP was introduced by Anthropic and has since been adopted industry-wide (including by OpenAI, Google, and Microsoft), making it one of the fastest-spreading standards in recent AI history. It's often described as a 'USB-C port for AI' - a common connector instead of a different plug for every device. For PMs, MCP is relevant because it's rapidly becoming the default way AI agents plug into a company's existing tools and data.",Technical-for-PMs,2,Technical,active
transformer,Transformer,"The neural network architecture, introduced in 2017, that underlies nearly all modern large language models.","Transformers process an entire sequence of text at once (using a mechanism called 'attention' to weigh how relevant every word is to every other word), rather than reading word-by-word in order. This made it possible to train much larger, more capable language models than earlier architectures allowed, and it's the single biggest technical breakthrough behind the current generative AI wave.",Technical-for-PMs,2,Technical,active
gpt,GPT (Generative Pre-trained Transformer),"A family of large language models, originally developed by OpenAI, built on the Transformer architecture and trained to generate human-like text.","GPT is both a general architecture/training approach and, informally, shorthand for OpenAI's specific model line (which now includes many versions). It's worth knowing 'GPT' as a category name distinct from 'ChatGPT' (the product) - GPT is the underlying model technology, ChatGPT is the consumer chat product built on top of it.",Technical-for-PMs,2,Technical,active
reinforcement-learning-from-human-feedback,Reinforcement Learning from Human Feedback (RLHF),A training technique that uses human rankings of AI outputs to teach a model to produce responses people prefer.,"After initial training, human reviewers compare pairs of model outputs and indicate which is better; the model is then further trained to favor outputs like the ones humans preferred. This is a major reason today's chatbots feel helpful and conversational rather than just technically fluent - RLHF is what's typically used to align a raw language model with being a genuinely useful assistant.",Technical-for-PMs,2,Technical,active
transfer-learning,Transfer Learning,"A technique where a model trained on one task is reused as the starting point for a different, related task, instead of training a new model from scratch.","Transfer learning is the general principle that makes fine-tuning practical: a foundation model already 'knows' a lot about language, so adapting it to a specific task requires far less additional data and compute than starting over. It's especially valuable when you don't have much data for your specific use case, since the model brings broad prior knowledge with it.",Technical-for-PMs,2,Technical,active
pretraining,Pretraining,"The initial, large-scale training phase where a model learns general language patterns from a massive, broad dataset, before any task-specific fine-tuning happens.","A pretrained model has learned to predict likely text based on everything it's seen, but it isn't naturally good at following instructions or answering questions helpfully on its own - that behavior typically comes from further steps like fine-tuning and RLHF. When people talk about 'the base model' versus 'the assistant,' pretraining is what produced the base model.",Technical-for-PMs,2,Technical,active
reasoning-model,Reasoning Model,"A newer category of AI models specifically trained to work through complex problems step by step before producing a final answer, improving accuracy on logic, math, and multi-step tasks.","Reasoning models are built from standard LLMs but further trained (often with reinforcement learning) to reliably do chain-of-thought-style thinking, rather than just sometimes doing it when prompted. They tend to be slower and more expensive per response than standard models, since they're doing more internal 'thinking' before answering - a real cost/latency trade-off for product teams to weigh against the accuracy gains.",Technical-for-PMs,2,Technical,active
parameters,Parameters,The internal numerical values within an AI model that are adjusted during training and ultimately determine how it behaves.,"A model's parameter count (often described in the billions) is a rough, imperfect proxy for its scale and capability - more parameters generally mean more capacity to capture complex patterns, though it's far from the whole story. When you hear a model described as having '70 billion parameters,' this is what's being referenced.",Technical-for-PMs,2,Technical,active
generative-adversarial-network,Generative Adversarial Network (GAN),A type of generative AI model made of two competing neural networks - a generator that creates content and a discriminator that tries to tell real from fake - that improve each other through competition.,"GANs were one of the earliest breakthroughs in generating realistic synthetic images, and remain in use for certain image and data-synthesis tasks, though diffusion models have become the dominant approach for most modern image generation (like DALL-E and Midjourney).",Technical-for-PMs,2,Technical,active
diffusion-model,Diffusion Model,A type of generative AI model that creates content (typically images) by starting with random noise and gradually refining it into a coherent output.,"Diffusion models are trained to reverse a process of adding random 'noise' to an image until it's unrecognizable, which teaches them how to do the opposite: start from noise and progressively sharpen it into a realistic image. This is the core technology behind most modern image generators, including DALL-E and Midjourney.",Technical-for-PMs,2,Technical,active
gpu,GPU (Graphics Processing Unit),"A specialized computer chip, originally built for rendering video game graphics, that's also extremely efficient at the mathematical calculations AI training and inference require.","GPUs can perform many calculations simultaneously (in parallel), which is exactly what training and running neural networks demands. GPU availability and cost are a real, ongoing bottleneck and cost driver across the AI industry - worth understanding at a basic level when discussing AI infrastructure costs or scaling plans.",Technical-for-PMs,2,Technical,active
compute,Compute,"Shorthand for the computational resources (processing power, typically GPUs or TPUs) needed to train or run an AI model.","'Compute' is used constantly in AI industry conversations as a stand-in for cost and capacity - training a large model requires enormous amounts of compute, and running inference at scale for millions of users requires ongoing compute capacity too. Understanding compute as a cost driver helps PMs reason about the economics of any AI feature, especially ones with high usage volume.",Technical-for-PMs,2,Non-Technical,active
model-drift,Model Drift,When a deployed AI model's performance degrades over time because real-world data has changed since the model was trained.,"A model trained on last year's customer behavior might perform worse today if customer patterns have shifted. This is an important operational concept for PMs: shipping an AI feature isn't a one-time launch - it requires ongoing monitoring to catch drift and a plan (retraining, fine-tuning, or replacing the model) for when performance degrades.",Technical-for-PMs,2,Non-Technical,active
synthetic-data,Synthetic Data,"Artificially generated data, created by an algorithm or model, used in place of or alongside real-world data - often to train other AI models.","Synthetic data is useful when real data is scarce, expensive, sensitive (like medical or financial records), or imbalanced in ways that would bias a model. It's an increasingly important part of training-data strategy, though it carries its own risk: a model trained too heavily on synthetic data can inherit and amplify the flaws of whatever generated that data.",Technical-for-PMs,2,Non-Technical,active
explainable-ai,Explainable AI (XAI),"Methods and techniques designed to make an AI system's decisions understandable to humans, rather than functioning as an unexplainable 'black box.'","XAI matters most in high-stakes settings - healthcare, lending, hiring, legal - where regulators, users, or internal stakeholders need to understand why a model made a particular decision, not just what the decision was. It's closely related to but distinct from Interpretability, which refers to the underlying degree of transparency a model has; XAI is the set of techniques used to achieve or improve that transparency.",Technical-for-PMs,2,Non-Technical,active
ai-alignment,AI Alignment,Making sure an AI system's goals and behavior actually match what people want - its creators' intentions and broader human values.,"Alignment is a central concern in both practical product terms (does this chatbot behave the way our brand and users need it to?) and in longer-term AI safety research (as AI systems become more autonomous and capable, will their objectives stay compatible with human interests?). RLHF is one of the most common practical techniques used to align a model's behavior with human preferences.",PM Basics,2,Non-Technical,active
ai-safety,AI Safety,"The field focused on ensuring AI systems behave reliably and don't cause harm, even as they become more powerful or are deployed in unexpected situations.","AI safety spans a spectrum from near-term, practical concerns (a chatbot giving dangerous advice, an agent taking an unintended harmful action) to longer-term, more speculative questions about very advanced future AI systems. For product teams, the near-term end of this spectrum is directly relevant to risk assessment and guardrail design.",PM Basics,2,Non-Technical,active
ai-ethics,AI Ethics,"The principles and practices guiding the responsible development and use of AI, covering issues like fairness, transparency, privacy, and accountability.","AI ethics is the umbrella under which more specific concerns - bias, fairness, explainability, data privacy - all sit. It's increasingly not just a philosophical topic but a practical, sometimes regulatory, requirement for any company shipping AI-powered products.",PM Basics,2,Non-Technical,active
responsible-ai,Responsible AI,"The practical frameworks and processes companies use to develop and deploy AI in a way that's ethical, safe, and accountable.","Where 'AI Ethics' describes the principles, 'Responsible AI' usually refers to the operational practice of applying them - things like bias testing before launch, clear escalation paths when an AI feature misbehaves, and documentation of how a model was trained and evaluated. Many companies now have formal Responsible AI review processes that PMs shipping AI features need to go through.",PM Basics,2,Non-Technical,active
overfitting,Overfitting,"A modeling problem where an AI model learns the training data too closely - including its noise and quirks - and performs poorly on new, unseen data as a result.","An overfit model looks great on the data it was trained and tested on, but fails to generalize to real-world use, which is the entire point of building it. It's a bit like a student who memorizes the exact answers to practice questions instead of understanding the underlying material, then struggles when the real exam asks something slightly different. This is a core quality-control concept in any ML evaluation process.",Technical-for-PMs,2,Technical,active
chatgpt,ChatGPT,"OpenAI's consumer AI chatbot product, launched in November 2022, built on their GPT family of language models.","ChatGPT is widely credited with bringing generative AI into mainstream awareness and use. It's a product (the chat interface and app), distinct from GPT (the underlying model family) - OpenAI has swapped and upgraded the model powering ChatGPT many times since launch.",Notable AI Products,3,Non-Technical,active
dall-e,DALL-E,"OpenAI's AI image-generation model/product, which creates images from text descriptions.","DALL-E was one of the earliest widely-used text-to-image tools and helped popularize generative image AI alongside Midjourney. It has since been through multiple versions and, as of 2026, has largely been superseded within ChatGPT by OpenAI's newer image models.",Notable AI Products,3,Non-Technical,active
midjourney,Midjourney,"An independent AI image-generation product, accessed primarily through Discord, known for highly stylized, artistic image outputs.","Midjourney is one of the most widely recognized names in AI image generation, often noted for a distinctive aesthetic quality that made it popular with designers and artists specifically (as opposed to DALL-E's more general-purpose positioning).",Notable AI Products,3,Non-Technical,active
claude,Claude,Anthropic's family of AI assistant models and chat product.,"Claude is a major LLM-based assistant, comparable in category to ChatGPT and Gemini, developed by Anthropic with a particular emphasis on safety and helpfulness research (see HHH).",Notable AI Products,3,Non-Technical,active
google-gemini,Google Gemini,"Google's family of multimodal AI models and assistant product, integrated across Google's products including Search.","Gemini is Google's flagship LLM/assistant line, positioned as a direct competitor to ChatGPT and Claude, and increasingly embedded into Google Search results (AI Overviews) and other Google products.",Notable AI Products,3,Non-Technical,active
microsoft-copilot,Microsoft Copilot,"Microsoft's AI assistant, built on OpenAI's models and integrated across Microsoft products like Windows, Office, and GitHub.","Copilot is Microsoft's branding for AI assistance across its ecosystem - notably including GitHub Copilot, a widely used AI coding assistant, which is a distinct product under the same brand umbrella.",Notable AI Products,3,Non-Technical,active
llama,Llama (Meta),Meta's family of open-weight large language models.,"Llama is one of the most prominent open-weight model families, meaning its trained weights are publicly available for others to download, run, and build on - a meaningfully different distribution model than the closed, API-only approach of GPT or Claude.",Notable AI Products,4,Non-Technical,active
perplexity-ai,Perplexity AI,"An AI-powered answer engine that combines a language model with live web search to produce cited, sourced answers.",Perplexity is a well-known example of a product built around Retrieval-Augmented Generation and grounding - its core value proposition is answering questions with citations rather than functioning as a general-purpose chatbot.,Notable AI Products,4,Non-Technical,active
sora,Sora,"OpenAI's AI video-generation model/product, which creates video clips from text descriptions.","Sora represents generative AI's extension into video, following the earlier progression from text to image generation. It's included here as a notable product despite being a single company's offering, since video generation is a distinct enough capability category worth PMs recognizing by name.",Notable AI Products,4,Non-Technical,active
